-420.000,-90.000,120.000,180.00,0.00,0.00,15,0.000
-422.720,-66.274,123.750,180.00,0.00,0.00,15,0.000
-434.745,-44.745,127.500,180.00,0.00,0.00,15,0.000
-454.743,-29.024,131.250,180.00,0.00,0.00,15,0.000
-480.000,-22.000,135.000,180.00,0.00,0.00,15,0.000
-506.788,-25.328,138.750,180.00,0.00,0.00,15,0.000
-530.912,-39.088,142.500,180.00,0.00,0.00,15,0.000
-548.367,-61.681,146.250,180.00,0.00,0.00,15,0.000
-556.000,-90.000,150.000,180.00,0.00,0.00,15,0.000
-552.063,-119.849,153.750,180.00,0.00,0.00,15,0.000
-536.569,-146.569,157.500,180.00,0.00,0.00,15,0.000
-511.380,-165.758,161.250,180.00,0.00,0.00,15,0.000
-480.000,-174.000,165.000,180.00,0.00,0.00,15,0.000
-447.089,-169.454,168.750,180.00,0.00,0.00,15,0.000
-417.775,-152.225,172.500,180.00,0.00,0.00,15,0.000
-396.851,-124.442,176.250,180.00,0.00,0.00,15,0.000
-388.000,-90.000,180.000,180.00,0.00,0.00,15,0.000
-393.155,-54.028,183.750,180.00,0.00,0.00,15,0.000
-412.118,-22.118,187.500,180.00,0.00,0.00,15,0.000
-442.497,0.540,191.250,180.00,0.00,0.00,15,0.000
-480.000,10.000,195.000,180.00,0.00,0.00,15,0.000
-519.034,4.236,198.750,180.00,0.00,0.00,15,0.000
-553.539,-16.461,202.500,180.00,0.00,0.00,15,0.000
-577.931,-49.436,206.250,180.00,0.00,0.00,15,0.000
-588.000,-90.000,210.000,180.00,0.00,0.00,15,0.000
-581.627,-132.095,213.750,180.00,0.00,0.00,15,0.000
-559.196,-169.196,217.500,180.00,0.00,0.00,15,0.000
-523.626,-195.322,221.250,180.00,0.00,0.00,15,0.000
-480.000,-206.000,225.000,180.00,0.00,0.00,15,0.000
-434.843,-199.018,228.750,180.00,0.00,0.00,15,0.000
-395.147,-174.853,232.500,180.00,0.00,0.00,15,0.000
-367.287,-136.687,236.250,180.00,0.00,0.00,15,0.000
-356.000,-90.000,240.000,180.00,0.00,0.00,15,0.000
-363.591,-41.782,243.750,180.00,0.00,0.00,15,0.000
-389.490,0.510,247.500,180.00,0.00,0.00,15,0.000
-430.251,30.104,251.250,180.00,0.00,0.00,15,0.000
-480.000,42.000,255.000,180.00,0.00,0.00,15,0.000
-531.280,33.800,258.750,180.00,0.00,0.00,15,0.000
-576.167,6.166,262.500,180.00,0.00,0.00,15,0.000
-607.495,-37.190,266.250,180.00,0.00,0.00,15,0.000
-620.000,-90.000,270.000,180.00,0.00,0.00,15,0.000
-611.191,-144.341,273.750,180.00,0.00,0.00,15,0.000
-581.824,-191.823,277.500,180.00,0.00,0.00,15,0.000
-535.872,-224.887,281.250,180.00,0.00,0.00,15,0.000
-480.000,-238.000,285.000,180.00,0.00,0.00,15,0.000
-422.597,-228.582,288.750,180.00,0.00,0.00,15,0.000
-372.520,-197.480,292.500,180.00,0.00,0.00,15,0.000
-337.723,-148.933,296.250,180.00,0.00,0.00,15,0.000
-324.000,-90.000,300.000,180.00,0.00,0.00,15,0.000
-334.027,-29.536,303.750,180.00,0.00,0.00,15,0.000
-366.863,23.137,307.500,180.00,0.00,0.00,15,0.000
-418.005,59.668,311.250,180.00,0.00,0.00,15,0.000
-480.000,74.000,315.000,180.00,0.00,0.00,15,0.000
-543.526,63.364,318.750,180.00,0.00,0.00,15,0.000
-598.794,28.794,322.500,180.00,0.00,0.00,15,0.000
-637.060,-24.944,326.250,180.00,0.00,0.00,15,0.000
-652.000,-90.000,330.000,180.00,0.00,0.00,15,0.000
-640.755,-156.587,333.750,180.00,0.00,0.00,15,0.000
-604.451,-214.451,337.500,180.00,0.00,0.00,15,0.000
-548.118,-254.451,341.250,180.00,0.00,0.00,15,0.000
-480.000,-270.000,345.000,180.00,0.00,0.00,15,0.000
-410.351,-258.146,348.750,180.00,0.00,0.00,15,0.000
-349.892,-220.108,352.500,180.00,0.00,0.00,15,0.000
-308.158,-161.179,356.250,180.00,0.00,0.00,15,0.000
-292.000,-90.000,360.000,180.00,0.00,0.00,15,0.000
-304.463,-17.290,363.750,180.00,0.00,0.00,15,0.000
-344.236,45.765,367.500,180.00,0.00,0.00,15,0.000
-405.760,89.233,371.250,180.00,0.00,0.00,15,0.000
-480.000,106.000,375.000,180.00,0.00,0.00,15,0.000
-555.771,92.928,378.750,180.00,0.00,0.00,15,0.000
-621.422,51.421,382.500,180.00,0.00,0.00,15,0.000
-666.624,-12.698,386.250,180.00,0.00,0.00,15,0.000
-684.000,-90.000,390.000,180.00,0.00,0.00,15,0.000
-670.319,-168.833,393.750,180.00,0.00,0.00,15,0.000
-627.078,-237.078,397.500,180.00,0.00,0.00,15,0.000
-560.363,-284.015,401.250,180.00,0.00,0.00,15,0.000
-480.000,-302.000,405.000,180.00,0.00,0.00,15,0.000
-398.106,-287.710,408.750,180.00,0.00,0.00,15,0.000
-327.265,-242.735,412.500,180.00,0.00,0.00,15,0.000
-278.594,-173.425,416.250,180.00,0.00,0.00,15,0.000
-260.000,-90.000,420.000,180.00,0.00,0.00,15,0.000
